AN_REFERENCIA;NM_MUNICIPIO_IES_CAPES;SG_UF_IES_CAPES;NM_REGIAO_IES_CAPES;CD_IES_CAPES;NM_IES_CAPES;SG_IES_CAPES;NM_NATUREZA_JURIDICA;SG_PROGRAMA_FOMENTO;CD_PROGRAMA;NM_PROGRAMA;NM_GRANDE_AREA;NM_AREA_AVALIACAO;NM_AREA_CONHECIMENTO;NM_NIVEL_PADRAO;QT_BOLSAS_CONCEDIDAS
2010;BELÉM;PA;NORTE;15001016;UNIVERSIDADE FEDERAL DO PARÁ;UFPA;FEDERAL;CIMAR;15001016017P2;GEOLOGIA E GEOQUÍMICA;CIÊNCIAS EXATAS E DA TERRA;GEOCIÊNCIAS;GEOCIÊNCIAS;MESTRADO;1
2010;BELÉM;PA;NORTE;15001016;UNIVERSIDADE FEDERAL DO PARÁ;UFPA;FEDERAL;CIMAR;15001016017P2;GEOLOGIA E GEOQUÍMICA;CIÊNCIAS EXATAS E DA TERRA;GEOCIÊNCIAS;GEOCIÊNCIAS;PÓS-DOUTORADO;1
2010;SÃO LUÍS;MA;NORDESTE;20001010;UNIVERSIDADE FEDERAL DO MARANHÃO;UFMA;FEDERAL;CIMAR;20001010010P2;SUSTENTABILIDADE DE ECOSSISTEMAS;MULTIDISCIPLINAR;INTERDISCIPLINAR;MEIO AMBIENTE E AGRÁRIAS;MESTRADO;1
2010;FORTALEZA;CE;NORDESTE;22001018;UNIVERSIDADE FEDERAL DO CEARÁ;UFC;FEDERAL;CIMAR;22001018040P4;CIÊNCIAS MARINHAS TROPICAIS;CIÊNCIAS EXATAS E DA TERRA;BIODIVERSIDADE;OCEANOGRAFIA BIOLÓGICA;DOUTORADO;15
2010;FORTALEZA;CE;NORDESTE;22001018;UNIVERSIDADE FEDERAL DO CEARÁ;UFC;FEDERAL;CIMAR;22001018040P4;CIÊNCIAS MARINHAS TROPICAIS;CIÊNCIAS EXATAS E DA TERRA;BIODIVERSIDADE;OCEANOGRAFIA BIOLÓGICA;MESTRADO;12
2010;FORTALEZA;CE;NORDESTE;22001018;UNIVERSIDADE FEDERAL DO CEARÁ;UFC;FEDERAL;CIMAR;22001018040P4;CIÊNCIAS MARINHAS TROPICAIS;CIÊNCIAS EXATAS E DA TERRA;BIODIVERSIDADE;OCEANOGRAFIA BIOLÓGICA;PÓS-DOUTORADO;3
2010;NATAL;RN;NORDESTE;23001011;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;UFRN;FEDERAL;CIMAR;23001011018P1;GEODINÂMICA E GEOFÍSICA;CIÊNCIAS EXATAS E DA TERRA;GEOCIÊNCIAS;GEOCIÊNCIAS;MESTRADO;1
2010;NATAL;RN;NORDESTE;23001011;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;UFRN;FEDERAL;CIMAR;23001011018P1;GEODINÂMICA E GEOFÍSICA;CIÊNCIAS EXATAS E DA TERRA;GEOCIÊNCIAS;GEOCIÊNCIAS;PÓS-DOUTORADO;1
2010;RECIFE;PE;NORDESTE;25001019;UNIVERSIDADE FEDERAL DE PERNAMBUCO;UFPE;FEDERAL;CIMAR;25001019034P2;OCEANOGRAFIA;CIÊNCIAS EXATAS E DA TERRA;BIODIVERSIDADE;OCEANOGRAFIA;DOUTORADO;1
2010;RECIFE;PE;NORDESTE;25001019;UNIVERSIDADE FEDERAL DE PERNAMBUCO;UFPE;FEDERAL;CIMAR;25001019034P2;OCEANOGRAFIA;CIÊNCIAS EXATAS E DA TERRA;BIODIVERSIDADE;OCEANOGRAFIA;PÓS-DOUTORADO;1
2010;RECIFE;PE;NORDESTE;25001019;UNIVERSIDADE FEDERAL DE PERNAMBUCO;UFPE;FEDERAL;CIMAR;25001019045P4;CIÊNCIAS BIOLÓGICAS;CIÊNCIAS BIOLÓGICAS;CIÊNCIAS BIOLÓGICAS I;BIOLOGIA GERAL;DOUTORADO;2
2010;RECIFE;PE;NORDESTE;25001019;UNIVERSIDADE FEDERAL DE PERNAMBUCO;UFPE;FEDERAL;CIMAR;25001019045P4;CIÊNCIAS BIOLÓGICAS;CIÊNCIAS BIOLÓGICAS;CIÊNCIAS BIOLÓGICAS I;BIOLOGIA GERAL;PÓS-DOUTORADO;1
2010;RECIFE;PE;NORDESTE;25003011;UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO;UFRPE;FEDERAL;CIMAR;25003011001P0;BOTÂNICA;CIÊNCIAS BIOLÓGICAS;BIODIVERSIDADE;BOTÂNICA;MESTRADO;2
2010;RECIFE;PE;NORDESTE;25003011;UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO;UFRPE;FEDERAL;CIMAR;25003011011P5;RECURSOS PESQUEIROS E AQUICULTURA;CIÊNCIAS AGRÁRIAS;ZOOTECNIA / RECURSOS PESQUEIROS;RECURSOS PESQUEIROS E ENGENHARIA DE PESCA;DOUTORADO;1
2010;RECIFE;PE;NORDESTE;25003011;UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO;UFRPE;FEDERAL;CIMAR;25003011011P5;RECURSOS PESQUEIROS E AQUICULTURA;CIÊNCIAS AGRÁRIAS;ZOOTECNIA / RECURSOS PESQUEIROS;RECURSOS PESQUEIROS E ENGENHARIA DE PESCA;MESTRADO;1
